timestamp_utc,session_count,mem_available_mib,swap_used_mib,load1,container,cpu_percent,mem_used_mib,pids
2026-07-03T02:21:25Z,6,8367,0,1.94,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,4.62,964.50,27
2026-07-03T02:21:25Z,6,8367,0,1.94,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,69.40,1555.46,27
2026-07-03T02:21:25Z,6,8367,0,1.94,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,33.25,495.50,27
2026-07-03T02:21:25Z,6,8367,0,1.94,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,25.29,424.50,27
2026-07-03T02:21:25Z,6,8367,0,1.94,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,33.03,496.50,27
2026-07-03T02:21:25Z,6,8367,0,1.94,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,65.88,1845.25,27
2026-07-03T02:21:30Z,6,8040,0,1.86,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:30Z,6,8040,0,1.86,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:30Z,6,8040,0,1.86,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,5.17,1324.03,27
2026-07-03T02:21:30Z,6,8040,0,1.86,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,65.79,1555.46,27
2026-07-03T02:21:30Z,6,8040,0,1.86,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,31.52,495.50,27
2026-07-03T02:21:30Z,6,8040,0,1.86,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,23.97,424.50,27
2026-07-03T02:21:30Z,6,8040,0,1.86,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,32.75,500.90,27
2026-07-03T02:21:30Z,6,8040,0,1.86,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,62.44,1845.25,27
2026-07-03T02:21:36Z,6,7796,0,1.80,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:36Z,6,7796,0,1.80,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:36Z,6,7796,0,1.80,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,5.29,1324.03,27
2026-07-03T02:21:36Z,6,7796,0,1.80,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,62.54,1555.46,27
2026-07-03T02:21:36Z,6,7796,0,1.80,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,29.96,495.50,27
2026-07-03T02:21:36Z,6,7796,0,1.80,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,22.78,424.50,27
2026-07-03T02:21:36Z,6,7796,0,1.80,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,36.08,771.20,27
2026-07-03T02:21:36Z,6,7796,0,1.80,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,59.34,1845.25,27
2026-07-03T02:21:41Z,6,7665,0,1.73,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:41Z,6,7665,0,1.73,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:41Z,6,7665,0,1.73,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,5.26,1324.03,27
2026-07-03T02:21:41Z,6,7665,0,1.73,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,59.59,1555.46,27
2026-07-03T02:21:41Z,6,7665,0,1.73,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,28.75,495.50,27
2026-07-03T02:21:41Z,6,7665,0,1.73,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,21.71,424.50,27
2026-07-03T02:21:41Z,6,7665,0,1.73,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,38.85,922.50,27
2026-07-03T02:21:41Z,6,7665,0,1.73,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,56.53,1845.25,27
